id,company,robot,country,website,x,linkedin,youtube,careers,b2b_client,stock,valuation,investors,rounds,release,height_cm,weight_kg,walk_kmh,run_kmh,payload_kg,power_hours,software,voice,clothed
leju-kuavo,Leju,Kuavo,China,https://www.lejurobot.com/en,https://x.com/LEJURobotics,,,,,Private,,,,2025,168,55,,7,,,KaihongOS / open-source Hongmeng humanoid stack,,No
lg-kapex,LG,Kapex,South Korea,https://solutions.lg.com/us/robots,,,,,,KRX:066570,,,,,175,65,,,,,,,No
limx-oli,LimX,Oli,China,https://www.limxdynamics.com/en,https://x.com/LimX_Dynamics,https://www.linkedin.com/company/limx-dynamics/,https://youtu.be/sihIDeJ4Hmk,,,Private,,,"69,000,000.00",2024,165,55,,,,,,,No
lumos-lus,Lumos,LUS,,https://www.lumosbot.tech/,https://x.com/LumosRobotics,,,,,Private,,,,,160,65,,,,,,,No
magiclab-magicbot,Magiclab,Magicbot,China,https://magiclab.top,https://x.com/MagicLab_Robot,,https://www.youtube.com/watch?v=nPFAchqUvEc,,,Private,,,,2024,174,67.5,,,20,4-5,MagicNet multi-robot system; SDK,,No
mentee-menteebot,Mentee,MenteeBot,Israel,https://www.menteebot.com/bot/,https://x.com/MenteeBot,https://www.linkedin.com/company/mentee-robotics/,https://youtu.be/Z3T9S1Arbdk,https://menteebot.com/careers/,,Private,,Mobileye (Adquired),"17,000,000.00",2024,175,70,5.4,,25,,,,No
neura-4ne-1,Neura,4NE-1,Germany,https://neura-robotics.com/,https://x.com/neurarobotics,https://www.linkedin.com/company/neura-robotics/,https://www.youtube.com/watch?v=RpphFszxQbM,https://neura-robotics.com/careers,,Private,,Volvo,"280,000,000.00",,170,60,,,,,,,No
noetix-dora,Noetix,Dora,China,https://en.noetixrobotics.com/products.html,https://x.com/TheRealNoetix,,,,"Household service, STEM education, elder care, research",Private,,,,2024,100,20,3.6,3.6,,,,,No
oversonic-robee,Oversonic,RoBee,Italy,https://www.oversonicrobotics.com/,,https://www.linkedin.com/company/oversonic-robotics-group/,https://www.youtube.com/@oversonicrobotics,,"Industrial, healthcare, hazardous/strenuous tasks",Private,,,,,,120,,,3,8,Cognitive AI; autonomous navigation; swarm/fleet operation,,No
pal-talos,PAL,Talos,Spain,https://pal-robotics.com/robots/,https://x.com/PALRobotics?,https://www.linkedin.com/company/pal-robotics/,https://www.youtube.com/watch?v=zQUufUEU83A,,,Private,,,,2017,175,95,3.6,3.6,6,1.5 walking / 3 standby,ROS / ros_control; Ubuntu LTS real-time OS,,No
